,jaar,maand,brandstof_omschrijving,aantal,cum aantal
0,1950,apr,Benzine,1,1
1,1950,jul,Benzine,1,2
2,1951,jan,Benzine,6,8
3,1951,feb,Benzine,2,10
4,1951,mrt,Benzine,8,18
5,1951,apr,Benzine,6,24
6,1951,mei,Benzine,6,30
7,1951,jun,Benzine,10,40
8,1951,jul,Benzine,9,49
9,1951,aug,Benzine,5,54
10,1951,sep,Benzine,4,58
11,1951,okt,Benzine,4,62
12,1951,nov,Benzine,7,69
13,1951,dec,Benzine,2,71
14,1952,jan,Benzine,5,76
15,1952,feb,Benzine,7,83
16,1952,mrt,Benzine,13,96
17,1952,apr,Benzine,6,102
18,1952,mei,Benzine,10,112
19,1952,mei,Diesel,1,1
20,1952,jun,Benzine,8,120
21,1952,jul,Benzine,13,133
22,1952,aug,Benzine,7,140
23,1952,aug,Diesel,2,3
24,1952,aug,LPG,1,1
25,1952,sep,Benzine,10,150
26,1952,okt,Benzine,9,159
27,1952,okt,Diesel,7,10
28,1952,nov,Benzine,8,167
29,1952,nov,Diesel,1,11
30,1952,dec,Benzine,20,187
31,1953,jan,Benzine,17,204
32,1953,feb,Benzine,16,220
33,1953,mrt,Benzine,19,239
34,1953,mrt,Diesel,1,12
35,1953,apr,Benzine,20,259
36,1953,mei,Benzine,22,281
37,1953,jun,Benzine,20,301
38,1953,jun,Diesel,1,13
39,1953,jul,Benzine,15,316
40,1953,aug,Benzine,16,332
41,1953,sep,Benzine,12,344
42,1953,okt,Benzine,14,358
43,1953,okt,LPG,1,2
44,1953,nov,Benzine,24,382
45,1953,dec,Benzine,15,397
46,1954,jan,Benzine,14,411
47,1954,feb,Benzine,21,432
48,1954,mrt,Benzine,26,458
49,1954,mrt,Diesel,1,14
50,1954,apr,Benzine,30,488
51,1954,apr,Diesel,1,15
52,1954,mei,Benzine,20,508
53,1954,mei,Diesel,1,16
54,1954,jun,Benzine,31,539
55,1954,jun,LPG,1,3
56,1954,jul,Benzine,32,571
57,1954,aug,Benzine,15,586
58,1954,sep,Benzine,23,609
59,1954,sep,Diesel,1,17
60,1954,okt,Benzine,26,635
61,1954,okt,Diesel,2,19
62,1954,nov,Benzine,16,651
63,1954,dec,Benzine,18,669
64,1955,jan,Benzine,9,678
65,1955,feb,Benzine,19,697
66,1955,mrt,Benzine,29,726
67,1955,mrt,LPG,2,5
68,1955,apr,Benzine,37,763
69,1955,apr,LPG,1,6
70,1955,mei,Benzine,29,792
71,1955,mei,Diesel,1,20
72,1955,mei,LPG,1,7
73,1955,jun,Benzine,42,834
74,1955,jul,Benzine,33,867
75,1955,jul,Diesel,1,21
76,1955,jul,LPG,1,8
77,1955,aug,Benzine,24,891
78,1955,sep,Benzine,24,915
79,1955,sep,LPG,1,9
80,1955,okt,Benzine,23,938
81,1955,okt,Diesel,1,22
82,1955,nov,Benzine,21,959
83,1955,nov,LPG,1,10
84,1955,dec,Benzine,27,986
85,1956,jan,Benzine,36,1022
86,1956,feb,Benzine,39,1061
87,1956,mrt,Benzine,52,1113
88,1956,apr,Benzine,70,1183
89,1956,mei,Benzine,74,1257
90,1956,mei,Diesel,2,24
91,1956,jun,Benzine,62,1319
92,1956,jun,LPG,1,11
93,1956,jul,Benzine,69,1388
94,1956,jul,Diesel,1,25
95,1956,jul,LPG,1,12
96,1956,aug,Benzine,74,1462
97,1956,aug,Diesel,1,26
98,1956,sep,Benzine,49,1511
99,1956,okt,Benzine,52,1563
100,1956,okt,Diesel,1,27
101,1956,nov,Benzine,58,1621
102,1956,dec,Benzine,37,1658
103,1957,jan,Benzine,38,1696
104,1957,jan,Diesel,2,29
105,1957,feb,Benzine,22,1718
106,1957,mrt,Benzine,38,1756
107,1957,mrt,Diesel,1,30
108,1957,apr,Benzine,36,1792
109,1957,mei,Benzine,38,1830
110,1957,jun,Benzine,31,1861
111,1957,jun,Diesel,1,31
112,1957,jul,Benzine,22,1883
113,1957,jul,LPG,2,14
114,1957,aug,Benzine,33,1916
115,1957,aug,Diesel,1,32
116,1957,sep,Benzine,20,1936
117,1957,sep,LPG,2,16
118,1957,okt,Benzine,24,1960
